date,oil price
2003-09-30,18
2003-10-31,19.5
2003-11-30,22.8
2003-12-31,21.3
2004-01-31,18.4
2004-02-29,24.7
2004-03-31,19.6
2004-04-30,21.1
2004-05-31,22.5
2004-06-30,23.4
2004-07-31,22.7
2004-08-31,25.4
2004-09-30,25
2004-10-31,29.8
2004-11-30,36.1
2004-12-31,26.9
2005-01-31,23.1
2005-02-28,28.1
2005-03-31,34.6
2005-04-30,30.5
2005-05-31,33.8
2005-06-30,32.1
2005-07-31,34.8
2005-08-31,37.5
2005-09-30,41.3
2005-10-31,40.5
2005-11-30,43.2
2005-12-31,41.2
2006-01-31,42
2006-02-28,44.7
2006-03-31,41.1
2006-04-30,42.3
2006-05-31,51.1
2006-06-30,45.2
2006-07-31,48.8
2006-08-31,55.5
2006-09-30,50.4
2006-10-31,45.8
2006-11-30,43.8
2006-12-31,46.6
2007-01-31,45
2007-02-28,55.9
2007-03-31,58.9
2007-04-30,64
2007-05-31,64.7
2007-06-30,65.7
2007-07-31,69.7
2007-08-31,67.4
2007-09-30,73.3
2007-10-31,77.2
2007-11-30,87
2007-12-31,85.7
2008-01-31,87.2
2008-02-29,89.9
2008-03-31,67.6
2008-04-30,66.9
2008-05-31,81.3
2008-06-30,82.4
2008-07-31,93.2
2008-08-31,92.5
2008-09-30,96.3
2008-10-31,69.1
2008-11-30,51.2
2008-12-31,38.6
2009-01-31,40
2009-02-28,32.4
2009-03-31,27.4
2009-04-30,33.7
2009-05-31,32.7
2009-06-30,37.7
2009-07-31,45.2
2009-08-31,49.3
2009-09-30,48.6
2009-10-31,52.4
2009-11-30,43.7
2009-12-31,55.1
2010-01-31,58.2
2010-02-28,51.2
2010-03-31,51.2
2010-04-30,58.3
2010-05-31,63.9
2010-06-30,51
2010-07-31,51.9
2010-08-31,74.2
2010-09-30,75.2
2010-10-31,58.7
2010-11-30,63
2010-12-31,67.2
2011-01-31,75.7
2011-02-28,100.2
2011-03-31,108.5
2011-04-30,115.8
2011-05-31,108
2011-06-30,107.5
2011-07-31,110.2
2011-08-31,105
2011-09-30,105.8
2011-10-31,103.5
2011-11-30,107.9
2011-12-31,105.5
2012-01-31,109.5
2012-02-29,116.2
2012-03-31,122.5
2012-04-30,117.3
2012-05-31,107.3
2012-06-30,94.4
2012-07-31,99.1
2012-08-31,108.6
2012-09-30,111.2
2012-10-31,109
2012-11-30,107.3
2012-12-31,106.4
2013-01-31,107.9
2013-02-28,111.1
2013-03-31,105.6
2013-04-30,101.7
2013-05-31,100.3
2013-06-30,100.2
2013-07-31,103.6
2013-08-31,107.1
2013-09-30,107.9
2013-10-31,105.6
2013-11-30,105.5
2013-12-31,107.5
2014-01-31,104
2014-02-28,105
2014-03-31,104.4
2014-04-30,104.6
2014-05-31,105.6
2014-06-30,107.9
2014-07-31,106.1
2014-08-31,101.9
2014-09-30,96.6
2014-10-31,86.8
2014-11-30,77.1
2014-12-31,60.2
2015-01-31,45.8
2015-02-28,55.7
2015-03-31,54.7
2015-04-30,57.7
2015-05-31,63
2015-06-30,60.8
2015-07-31,55.6
2015-08-31,47.8
2015-09-30,45.8
2015-10-31,45.8
2015-11-30,41.6
2015-12-31,34.9
2016-01-31,26.9
2016-02-29,28.9
2016-03-31,35.2
2016-04-30,39
2016-05-31,44.3
2016-06-30,46.3
2016-07-31,42.5
2016-08-31,43.6
2016-09-30,43.3
2016-10-31,49
2016-11-30,43.9
2016-12-31,52.1
2017-01-31,53.7
2017-02-28,54.4
2017-03-31,51.2
2017-04-30,52.3
2017-05-31,50.7
2017-06-30,46.5
2017-07-31,47.6
2017-08-31,50.2
2017-09-30,53.7
2017-10-31,55.5
2017-11-30,60.8
2017-12-31,61.6
2018-01-31,66.2
2018-02-28,62.7
2018-03-31,62.7
2018-04-30,68.3
2018-05-31,74.4
2018-06-30,73.6
2018-07-31,73.1
2018-08-31,72.5
2018-09-30,77.2
2018-10-31,79.4
2018-11-30,65.6
2018-12-31,57.3
2019-01-31,59.1
2019-02-28,64.6
2019-03-31,66.9
2019-04-30,70.9
2019-05-31,69.4
2019-06-30,61.8
2019-07-31,63.3
2019-08-31,59.1
2019-09-30,61.1
2019-10-31,59.4
2019-11-30,62
2019-12-31,64.9
2020-01-31,64.3
2020-02-29,54.2
2020-03-31,33.7
2020-04-30,20.4
2020-05-31,30.5
2020-06-30,40.8
2020-07-31,43.3
2020-08-31,44
2020-09-30,41.5
2020-10-31,40.7
2020-11-30,43.4
2020-12-31,49.8
2021-01-31,54.8
2021-02-28,60.9
2021-03-31,66.4
2021-04-30,62.9
2021-05-31,66.3
2021-06-30,71.6
2021-07-31,72.9
2021-08-31,69.5
2021-09-30,72.6
2021-10-31,81.6
2021-11-30,80.3
2021-12-31,73.2
2022-01-31,83.2
2022-02-28,92.4
2022-03-31,110.9
2022-04-30,105.37
